strategy_date,training_date,audit_status,audit_scope,audit_result,lesson_type,lesson_note,rank,code,name,push_level,fast_level,fast_score,market_price_date,market_lag_days,market_source,observed_days,latest_return_pct,tail_next_open_pct,tail_next_close_pct,tail_next_max_gain_pct,return_1d_pct,return_3d_pct,return_5d_pct,open_buy_return_3d_pct,open_buy_return_5d_pct,max_gain_5d_pct,capture_type,snapshot_time,reasons,risks,strategy_version
2026-08-06,2026-07-30,等待结算,快策略候选,等待下个交易日,pending,已记录本次策略，等下个交易日行情更新后自动结算。,32,603823,百合花,观察池,下个交易日主盯,85.53,2026-08-06,0,common_index_cache,0,,,,,,,,,,,intraday_1430,2026-08-06 14:30:00,人气Top50；当日涨停附近；收在日内高位；站上20日线且不过热；连续上榜确认；人气排名明显上升；市场强势且个股相对强势,近5日趋势未确认；v4事件谨慎扣分（异常波动）；涨停封板不可买,v4
2026-08-06,2026-07-30,等待结算,快策略候选,等待下个交易日,pending,已记录本次策略，等下个交易日行情更新后自动结算。,84,000566,海南海药,观察池,下个交易日主盯,83.38,2026-08-06,0,common_index_cache,0,,,,,,,,,,,intraday_1430,2026-08-06 14:30:00,当日涨停附近；收在日内高位；温和放量；站上20日线且不过热；市场强势且个股相对强势；v4多头排列技术加分,涨停封板不可买,v4
2026-08-06,2026-07-30,等待结算,快策略候选,等待下个交易日,pending,已记录本次策略，等下个交易日行情更新后自动结算。,57,601678,滨化股份,观察池,下个交易日主盯,76.18,2026-08-06,0,common_index_cache,0,,,,,,,,,,,intraday_1430,2026-08-06 14:30:00,当日涨停附近；收在日内高位；温和放量；近5日趋势升温；站上20日线且不过热；人气排名明显上升；市场强势且个股相对强势,v4乖离率过大；v4远离短中期均线；涨停封板不可买,v4
2026-08-06,2026-07-30,等待结算,快策略候选,等待下个交易日,pending,已记录本次策略，等下个交易日行情更新后自动结算。,31,601700,风范股份,观察池,下个交易日主盯,74.88,2026-08-06,0,common_index_cache,0,,,,,,,,,,,intraday_1430,2026-08-06 14:30:00,人气Top50；当日涨停附近；收在日内高位；站上20日线且不过热；连续上榜确认；人气排名明显上升；市场强势且个股相对强势,v4趋势未转强且热度偏后；涨停封板不可买,v4
2026-08-06,2026-07-30,等待结算,快策略候选,等待下个交易日,pending,已记录本次策略，等下个交易日行情更新后自动结算。,92,002425,凯撒文化,观察池,下个交易日主盯,72.18,2026-08-06,0,common_index_cache,0,,,,,,,,,,,intraday_1430,2026-08-06 14:30:00,当日涨停附近；收在日内高位；站上20日线且不过热；连续上榜确认；市场强势且个股相对强势；v4龙虎榜提示关注,涨停封板不可买,v4
2026-08-06,2026-07-30,等待结算,快策略候选,等待下个交易日,pending,已记录本次策略，等下个交易日行情更新后自动结算。,46,000981,山子高科,观察池,下个交易日主盯,71.48,2026-08-06,0,common_index_cache,0,,,,,,,,,,,intraday_1430,2026-08-06 14:30:00,人气Top50；当日涨停附近；收在日内高位；放量仍可控；近5日趋势升温；站上20日线且不过热；连续上榜确认；市场强势且个股相对强势,v4乖离率过大；v4远离短中期均线；v4放量冲高过热；v4趋势未转强且热度偏后；涨停封板不可买,v4
2026-08-06,2026-07-30,等待结算,快策略候选,等待下个交易日,pending,已记录本次策略，等下个交易日行情更新后自动结算。,97,603716,塞力医疗,观察池,下个交易日主盯,69.98,2026-08-06,0,common_index_cache,0,,,,,,,,,,,intraday_1430,2026-08-06 14:30:00,当日涨停附近；收在日内高位；温和放量；近5日趋势升温；站上20日线且不过热；市场强势且个股相对强势；v4多头排列技术加分,人气排名明显回落；v4乖离率过大；v4远离短中期均线；涨停封板不可买,v4
2026-08-06,2026-07-30,等待结算,快策略候选,等待下个交易日,pending,已记录本次策略，等下个交易日行情更新后自动结算。,4,603221,爱丽家居,观察池,下个交易日主盯,68.88,2026-08-06,0,common_index_cache,0,,,,,,,,,,,intraday_1430,2026-08-06 14:30:00,人气Top10；当日涨停附近；收在日内高位；站上20日线且不过热；人气排名明显上升；市场强势且个股相对强势,一字或近似一字，参与点差；v4事件风险扣分（监管）；一字板不可买,v4
2026-08-06,2026-07-30,等待结算,快策略候选,等待下个交易日,pending,已记录本次策略，等下个交易日行情更新后自动结算。,27,600176,中国巨石,不推送,下个交易日主盯,67.98,2026-08-06,0,common_index_cache,0,,,,,,,,,,,intraday_1430,2026-08-06 14:30:00,人气Top50；当日强涨；收盘承接较强；温和放量；持续霸榜；市场强势且个股相对强势,仍在20日线下方；热度可能进入后段；v4趋势未转强且热度偏后,v4
2026-08-06,2026-07-30,等待结算,快策略候选,等待下个交易日,pending,已记录本次策略，等下个交易日行情更新后自动结算。,39,603259,药明康德,不推送,下个交易日主盯,67.98,2026-08-06,0,common_index_cache,0,,,,,,,,,,,intraday_1430,2026-08-06 14:30:00,人气Top50；当日上涨；温和放量；近5日趋势升温；站上20日线且不过热；连续上榜确认；市场强势且个股相对强势；v4多头排列技术加分,人气排名明显回落；v4乖离率过大；v4远离短中期均线；v4长上影承接转弱,v4
2026-08-06,2026-07-30,等待结算,快策略候选,等待下个交易日,pending,已记录本次策略，等下个交易日行情更新后自动结算。,68,600172,黄河旋风,观察池,下个交易日主盯,67.68,2026-08-06,0,common_index_cache,0,,,,,,,,,,,intraday_1430,2026-08-06 14:30:00,当日涨停附近；收在日内高位；温和放量；连续上榜确认；市场强势且个股相对强势；v4龙虎榜提示关注,近5日趋势未确认；仍在20日线下方；人气排名明显回落；涨停封板不可买,v4
2026-08-06,2026-07-30,等待结算,快策略候选,等待下个交易日,pending,已记录本次策略，等下个交易日行情更新后自动结算。,29,002407,多氟多,不推送,下个交易日主盯,61.23,2026-08-06,0,common_index_cache,0,,,,,,,,,,,intraday_1430,2026-08-06 14:30:00,人气Top50；当日上涨；收盘承接较强；温和放量；持续霸榜；市场强势且个股相对强势；v4龙虎榜活跃,仍在20日线下方；热度可能进入后段；v4乖离率过大；v4趋势未转强且热度偏后,v4
2026-08-06,2026-07-30,等待结算,快策略候选,等待下个交易日,pending,已记录本次策略，等下个交易日行情更新后自动结算。,22,002703,浙江世宝,观察池,下个交易日主盯,59.63,2026-08-06,0,common_index_cache,0,,,,,,,,,,,intraday_1430,2026-08-06 14:30:00,人气Top50；当日涨停附近；收在日内高位；近5日强势延续；站上20日线且不过热；连续上榜确认；人气排名明显上升；市场强势且个股相对强势,量能不足；短线涨幅偏高；一字或近似一字，参与点差；v4乖离率过大；v4远离短中期均线；一字板不可买,v4
2026-08-06,2026-07-30,等待结算,快策略候选,等待下个交易日,pending,已记录本次策略，等下个交易日行情更新后自动结算。,63,300615,欣天科技,观察池,下个交易日主盯,57.03,2026-08-06,0,common_index_cache,0,,,,,,,,,,,intraday_1430,2026-08-06 14:30:00,当日涨停附近；收在日内高位；站上20日线且不过热；人气排名明显上升；市场强势且个股相对强势；v4龙虎榜提示关注,v4事件谨慎扣分（异常波动）；涨停封板不可买,v4
2026-08-06,2026-07-30,等待结算,快策略候选,等待下个交易日,pending,已记录本次策略，等下个交易日行情更新后自动结算。,40,001309,德明利,不推送,下个交易日主盯,54.58,2026-08-06,0,common_index_cache,0,,,,,,,,,,,intraday_1430,2026-08-06 14:30:00,人气Top50；当日上涨；收盘承接较强；温和放量；持续霸榜；市场强势且个股相对强势,近5日趋势未确认；仍在20日线下方；热度可能进入后段；v4趋势未转强且热度偏后,v4
2026-08-06,2026-07-30,等待结算,快策略候选,等待下个交易日,pending,已记录本次策略，等下个交易日行情更新后自动结算。,6,300308,中际旭创,不推送,下个交易日主盯,53.68,2026-08-06,0,common_index_cache,0,,,,,,,,,,,intraday_1430,2026-08-06 14:30:00,人气Top10；近5日趋势升温；持续霸榜；市场强势且个股相对强势,仍在20日线下方；热度可能进入后段；v4长上影承接转弱,v4
2026-08-06,2026-07-30,等待结算,快策略候选,等待下个交易日,pending,已记录本次策略，等下个交易日行情更新后自动结算。,48,002579,中京电子,观察池,下个交易日主盯,52.73,2026-08-06,0,common_index_cache,0,,,,,,,,,,,intraday_1430,2026-08-06 14:30:00,人气Top50；当日涨停附近；收在日内高位；连续上榜确认；市场强势且个股相对强势；v4龙虎榜提示关注,近5日趋势未确认；仍在20日线下方；v4短线偏离MA5过多；v4趋势未转强且热度偏后；涨停封板不可买,v4
2026-08-06,2026-07-30,等待结算,快策略候选,等待下个交易日,pending,已记录本次策略，等下个交易日行情更新后自动结算。,10,600487,亨通光电,不推送,优先观察,51.78,2026-08-06,0,common_index_cache,0,,,,,,,,,,,intraday_1430,2026-08-06 14:30:00,人气Top10；温和放量；持续霸榜；市场强势且个股相对强势,近5日趋势未确认；仍在20日线下方；热度可能进入后段；v4乖离率过大；v4长上影承接转弱；v4正涨但收盘承接一般,v4
2026-08-06,2026-07-30,等待结算,快策略候选,等待下个交易日,pending,已记录本次策略，等下个交易日行情更新后自动结算。,60,688549,中巨芯,观察池,优先观察,51.38,2026-08-06,0,common_index_cache,0,,,,,,,,,,,intraday_1430,2026-08-06 14:30:00,当日涨停附近；收在日内高位；连续上榜确认；人气排名明显上升；市场强势且个股相对强势；v4龙虎榜提示关注,量能不足；近5日趋势未确认；仍在20日线下方；涨停封板不可买,v4
2026-08-06,2026-07-30,等待结算,快策略候选,等待下个交易日,pending,已记录本次策略，等下个交易日行情更新后自动结算。,16,000938,紫光股份,不推送,优先观察,49.78,2026-08-06,0,common_index_cache,0,,,,,,,,,,,intraday_1430,2026-08-06 14:30:00,人气Top20；收盘承接较强；温和放量；近5日趋势升温；持续霸榜；市场强势且个股相对强势,热度可能进入后段；v4乖离率过大,v4
2026-08-05,2026-07-29,待补行情,快策略候选,待补行情,pending_data,信号日后应已有行情，但本地日K还没补齐；补齐后会自动重新审查。,13,601138,工业富联,观察池,下个交易日主盯,84.73,2026-08-05,0,common_index_cache,0,,,,,,,,,,,intraday_1430,2026-08-05 14:30:00,人气Top20；当日涨停附近；收在日内高位；温和放量；站上20日线且不过热；持续霸榜；人气排名明显上升；市场强势且个股相对强势；v4事件催化加分（回购）,热度可能进入后段；v4乖离率过大；涨停封板不可买,v4
2026-08-05,2026-07-29,待补行情,快策略候选,待补行情,pending_data,信号日后应已有行情，但本地日K还没补齐；补齐后会自动重新审查。,9,003032,传智教育,观察池,下个交易日主盯,79.83,2026-08-05,0,common_index_cache,0,,,,,,,,,,,intraday_1430,2026-08-05 14:30:00,人气Top10；当日涨停附近；收在日内高位；站上20日线且不过热；持续霸榜；市场强势且个股相对强势；v4龙虎榜提示关注,热度可能进入后段；v4事件谨慎扣分（异常波动）；涨停封板不可买,v4
2026-08-05,2026-07-29,待补行情,快策略候选,待补行情,pending_data,信号日后应已有行情，但本地日K还没补齐；补齐后会自动重新审查。,54,300476,胜宏科技,观察池,下个交易日主盯,75.68,2026-08-05,0,common_index_cache,0,,,,,,,,,,,intraday_1430,2026-08-05 14:30:00,当日涨停附近；收盘承接较强；温和放量；连续上榜确认；人气排名明显上升；市场强势且个股相对强势,近5日趋势未确认；仍在20日线下方；涨停封板不可买,v4
2026-08-05,2026-07-29,待补行情,快策略候选,待补行情,pending_data,信号日后应已有行情，但本地日K还没补齐；补齐后会自动重新审查。,36,300285,国瓷材料,观察池,下个交易日主盯,73.48,2026-08-05,0,common_index_cache,0,,,,,,,,,,,intraday_1430,2026-08-05 14:30:00,人气Top50；当日涨停附近；收盘承接较强；温和放量；近5日趋势升温；连续上榜确认；市场强势且个股相对强势,仍在20日线下方；v4乖离率过大；v4趋势未转强且热度偏后；涨停封板不可买,v4
2026-08-05,2026-07-29,待补行情,快策略候选,待补行情,pending_data,信号日后应已有行情，但本地日K还没补齐；补齐后会自动重新审查。,17,603259,药明康德,不推送,下个交易日主盯,71.38,2026-08-05,0,common_index_cache,0,,,,,,,,,,,intraday_1430,2026-08-05 14:30:00,人气Top20；当日上涨；温和放量；近5日趋势升温；站上20日线且不过热；连续上榜确认；市场强势且个股相对强势；v4多头排列技术加分,v4乖离率过大；v4远离短中期均线；v4长上影承接转弱,v4
2026-08-05,2026-07-29,待补行情,快策略候选,待补行情,pending_data,信号日后应已有行情，但本地日K还没补齐；补齐后会自动重新审查。,27,000981,山子高科,观察池,下个交易日主盯,71.08,2026-08-05,0,common_index_cache,0,,,,,,,,,,,intraday_1430,2026-08-05 14:30:00,人气Top50；当日涨停附近；收在日内高位；放量仍可控；近5日趋势升温；站上20日线且不过热；连续上榜确认；人气排名明显上升；市场强势且个股相对强势,v4乖离率过大；v4远离短中期均线；v4放量冲高过热；涨停封板不可买,v4
2026-08-05,2026-07-29,待补行情,快策略候选,待补行情,pending_data,信号日后应已有行情，但本地日K还没补齐；补齐后会自动重新审查。,79,601208,东材科技,观察池,下个交易日主盯,70.38,2026-08-05,0,common_index_cache,0,,,,,,,,,,,intraday_1430,2026-08-05 14:30:00,当日涨停附近；收在日内高位；温和放量；连续上榜确认；人气排名明显上升；市场强势且个股相对强势,近5日趋势未确认；仍在20日线下方；涨停封板不可买,v4
2026-08-05,2026-07-29,待补行情,快策略候选,待补行情,pending_data,信号日后应已有行情，但本地日K还没补齐；补齐后会自动重新审查。,24,603629,利通电子,观察池,下个交易日主盯,69.98,2026-08-05,0,common_index_cache,0,,,,,,,,,,,intraday_1430,2026-08-05 14:30:00,人气Top50；当日涨停附近；收在日内高位；温和放量；近5日趋势升温；持续霸榜；市场强势且个股相对强势,热度可能进入后段；v4乖离率过大；v4趋势未转强且热度偏后；涨停封板不可买,v4
2026-08-05,2026-07-29,待补行情,快策略候选,待补行情,pending_data,信号日后应已有行情，但本地日K还没补齐；补齐后会自动重新审查。,95,603993,洛阳钼业,不推送,下个交易日主盯,68.68,2026-08-05,0,common_index_cache,0,,,,,,,,,,,intraday_1430,2026-08-05 14:30:00,当日上涨；收在日内高位；温和放量；近5日趋势升温；站上20日线且不过热；市场强势且个股相对强势；v4多头排列技术加分,人气排名明显回落；v4乖离率过大；v4远离短中期均线,v4
2026-08-05,2026-07-29,待补行情,快策略候选,待补行情,pending_data,信号日后应已有行情，但本地日K还没补齐；补齐后会自动重新审查。,81,300248,新开普,观察池,下个交易日主盯,68.58,2026-08-05,0,common_index_cache,0,,,,,,,,,,,intraday_1430,2026-08-05 14:30:00,当日涨停附近；收在日内高位；站上20日线且不过热；市场强势且个股相对强势；v4龙虎榜提示关注,涨停封板不可买,v4
2026-08-05,2026-07-29,待补行情,快策略候选,待补行情,pending_data,信号日后应已有行情，但本地日K还没补齐；补齐后会自动重新审查。,4,600487,亨通光电,不推送,下个交易日主盯,65.18,2026-08-05,0,common_index_cache,0,,,,,,,,,,,intraday_1430,2026-08-05 14:30:00,人气Top10；当日强涨；收在日内高位；放量仍可控；持续霸榜；市场强势且个股相对强势；v4龙虎榜活跃,近5日趋势未确认；仍在20日线下方；热度可能进入后段；v4短线偏离MA5过多,v4
2026-08-05,2026-07-29,待补行情,快策略候选,待补行情,pending_data,信号日后应已有行情，但本地日K还没补齐；补齐后会自动重新审查。,43,601700,风范股份,观察池,下个交易日主盯,63.33,2026-08-05,0,common_index_cache,0,,,,,,,,,,,intraday_1430,2026-08-05 14:30:00,人气Top50；当日涨停附近；收在日内高位；站上20日线且不过热；连续上榜确认；人气排名明显上升；市场强势且个股相对强势,v4事件谨慎扣分（异常波动）；涨停封板不可买,v4
2026-08-05,2026-07-29,待补行情,快策略候选,待补行情,pending_data,信号日后应已有行情，但本地日K还没补齐；补齐后会自动重新审查。,6,000725,京东方A,不推送,下个交易日主盯,62.93,2026-08-05,0,common_index_cache,0,,,,,,,,,,,intraday_1430,2026-08-05 14:30:00,人气Top10；当日上涨；收盘承接较强；温和放量；持续霸榜；市场强势且个股相对强势；v4事件催化加分（回购）,热度可能进入后段；v4乖离率过大,v4
2026-08-05,2026-07-29,待补行情,快策略候选,待补行情,pending_data,信号日后应已有行情，但本地日K还没补齐；补齐后会自动重新审查。,38,601869,长飞光纤,观察池,下个交易日主盯,62.88,2026-08-05,0,common_index_cache,0,,,,,,,,,,,intraday_1430,2026-08-05 14:30:00,人气Top50；当日涨停附近；收在日内高位；温和放量；连续上榜确认；人气排名明显上升；市场强势且个股相对强势；v4龙虎榜提示关注,近5日趋势未确认；仍在20日线下方；涨停封板不可买,v4
2026-08-05,2026-07-29,待补行情,快策略候选,待补行情,pending_data,信号日后应已有行情，但本地日K还没补齐；补齐后会自动重新审查。,80,603618,杭电股份,观察池,下个交易日主盯,61.18,2026-08-05,0,common_index_cache,0,,,,,,,,,,,intraday_1430,2026-08-05 14:30:00,当日涨停附近；收在日内高位；温和放量；市场强势且个股相对强势；v4龙虎榜提示关注,近5日趋势未确认；仍在20日线下方；v4事件风险扣分（减持）；涨停封板不可买,v4
2026-08-05,2026-07-29,待补行情,快策略候选,待补行情,pending_data,信号日后应已有行情，但本地日K还没补齐；补齐后会自动重新审查。,85,002674,兴业科技,观察池,下个交易日主盯,61.18,2026-08-05,0,common_index_cache,0,,,,,,,,,,,intraday_1430,2026-08-05 14:30:00,当日涨停附近；收在日内高位；温和放量；市场强势且个股相对强势,近5日趋势未确认；v4乖离率过大；涨停封板不可买,v4
2026-08-05,2026-07-29,待补行情,快策略候选,待补行情,pending_data,信号日后应已有行情，但本地日K还没补齐；补齐后会自动重新审查。,37,600183,生益科技,观察池,下个交易日主盯,60.18,2026-08-05,0,common_index_cache,0,,,,,,,,,,,intraday_1430,2026-08-05 14:30:00,人气Top50；当日涨停附近；收在日内高位；温和放量；连续上榜确认；市场强势且个股相对强势,近5日趋势未确认；仍在20日线下方；涨停封板不可买,v4
2026-08-05,2026-07-29,待补行情,快策略候选,待补行情,pending_data,信号日后应已有行情，但本地日K还没补齐；补齐后会自动重新审查。,92,000593,德龙汇能,观察池,下个交易日主盯,59.58,2026-08-05,0,common_index_cache,0,,,,,,,,,,,intraday_1430,2026-08-05 14:30:00,当日涨停附近；收在日内高位；放量仍可控；近5日强势延续；站上20日线且不过热；市场强势且个股相对强势,短线涨幅偏高；v4乖离率过大；v4远离短中期均线；v4放量冲高过热；v4事件谨慎扣分（异常波动）；涨停封板不可买,v4
2026-08-05,2026-07-29,待补行情,快策略候选,待补行情,pending_data,信号日后应已有行情，但本地日K还没补齐；补齐后会自动重新审查。,22,600206,有研新材,观察池,下个交易日主盯,58.38,2026-08-05,0,common_index_cache,0,,,,,,,,,,,intraday_1430,2026-08-05 14:30:00,人气Top50；当日涨停附近；收在日内高位；温和放量；持续霸榜；人气排名明显上升；市场强势且个股相对强势,近5日趋势未确认；仍在20日线下方；热度可能进入后段；v4趋势未转强且热度偏后；涨停封板不可买,v4
2026-08-05,2026-07-29,待补行情,快策略候选,待补行情,pending_data,信号日后应已有行情，但本地日K还没补齐；补齐后会自动重新审查。,44,002491,通鼎互联,观察池,下个交易日主盯,58.38,2026-08-05,0,common_index_cache,0,,,,,,,,,,,intraday_1430,2026-08-05 14:30:00,人气Top50；当日涨停附近；收在日内高位；温和放量；人气排名明显上升；市场强势且个股相对强势,近5日趋势未确认；仍在20日线下方；涨停封板不可买,v4
2026-08-05,2026-07-29,待补行情,快策略候选,待补行情,pending_data,信号日后应已有行情，但本地日K还没补齐；补齐后会自动重新审查。,46,600172,黄河旋风,观察池,下个交易日主盯,58.38,2026-08-05,0,common_index_cache,0,,,,,,,,,,,intraday_1430,2026-08-05 14:30:00,人气Top50；当日涨停附近；收在日内高位；温和放量；人气排名明显上升；市场强势且个股相对强势,近5日趋势未确认；仍在20日线下方；涨停封板不可买,v4
2026-08-05,2026-07-29,待补行情,快策略候选,待补行情,pending_data,信号日后应已有行情，但本地日K还没补齐；补齐后会自动重新审查。,61,301396,宏景科技,观察池,下个交易日主盯,58.03,2026-08-05,0,common_index_cache,0,,,,,,,,,,,intraday_1430,2026-08-05 14:30:00,当日涨停附近；收盘承接较强；温和放量；连续上榜确认；市场强势且个股相对强势；v4事件催化加分（回购）,近5日趋势未确认；仍在20日线下方；人气排名明显回落；v4乖离率过大；涨停封板不可买,v4
2026-08-05,2026-07-29,待补行情,快策略候选,待补行情,pending_data,信号日后应已有行情，但本地日K还没补齐；补齐后会自动重新审查。,45,601899,紫金矿业,不推送,下个交易日主盯,57.68,2026-08-05,0,common_index_cache,0,,,,,,,,,,,intraday_1430,2026-08-05 14:30:00,人气Top50；当日上涨；收在日内高位；温和放量；近5日趋势升温；站上20日线且不过热；持续霸榜；人气排名明显上升；市场强势且个股相对强势；v4多头排列技术加分,热度可能进入后段；v4乖离率过大；v4远离短中期均线,v4
2026-08-05,2026-07-29,待补行情,快策略候选,待补行情,pending_data,信号日后应已有行情，但本地日K还没补齐；补齐后会自动重新审查。,32,300209,行云科技,观察池,下个交易日主盯,57.03,2026-08-05,0,common_index_cache,0,,,,,,,,,,,intraday_1430,2026-08-05 14:30:00,人气Top50；当日涨停附近；站上20日线且不过热；连续上榜确认；市场强势且个股相对强势；v4事件催化加分（重大合同）,涨停封板不可买,v4
2026-08-05,2026-07-29,待补行情,快策略候选,待补行情,pending_data,信号日后应已有行情，但本地日K还没补齐；补齐后会自动重新审查。,63,002202,金风科技,不推送,下个交易日主盯,56.83,2026-08-05,0,common_index_cache,0,,,,,,,,,,,intraday_1430,2026-08-05 14:30:00,当日上涨；温和放量；近5日趋势升温；连续上榜确认；人气排名明显上升；市场强势且个股相对强势；v4事件催化加分（回购）,v4乖离率过大；v4趋势未转强且热度偏后,v4
2026-08-05,2026-07-29,待补行情,快策略候选,待补行情,pending_data,信号日后应已有行情，但本地日K还没补齐；补齐后会自动重新审查。,58,002396,星网锐捷,观察池,下个交易日主盯,56.78,2026-08-05,0,common_index_cache,0,,,,,,,,,,,intraday_1430,2026-08-05 14:30:00,当日涨停附近；收在日内高位；站上20日线且不过热；人气排名明显上升；市场强势且个股相对强势；v4龙虎榜提示关注,量能不足；涨停封板不可买,v4
2026-08-05,2026-07-29,次日已审,快策略候选,优先走弱,priority_failed,下个交易日主盯 未兑现，复盘风险项：热度可能进入后段；v4乖离率过大；v4远离短中期均线,7,000636,风华高科,不推送,下个交易日主盯,70.58,2026-08-05,0,common_index_cache,1,-0.34,-4.22,-0.34,1.11,-0.34,,,,,,intraday_1430,2026-08-05 14:30:00,人气Top10；当日强涨；收盘承接较强；温和放量；近5日趋势升温；站上20日线且不过热；持续霸榜；市场强势且个股相对强势,热度可能进入后段；v4乖离率过大；v4远离短中期均线,v4
